day_sin,day_cos,month_sin,month_cos,year,day_of_week_sin,day_of_week_cos,symbol,negative,neutral,positive,class
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,0,1,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,0,1,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,0,1,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,0,1,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,0,1,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,0,1,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,1,0,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,0,1,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,0,1,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,0,1,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,0,1,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,0,1,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,0,1,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,0,1,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,1,0,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,0,1,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,1,0,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,1,0,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,1,0,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,0,1,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,0,1,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,0,1,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,0,1,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,1,0,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,0,1,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,0,1,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,0,1,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,0,1,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,1,0,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,0,1,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,0,1,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,0,1,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,0,1,1
-0.20129852008866114,0.9795299412524943,1.2246467991473532e-16,-1.0,2023,-0.8660254037844385,-0.5000000000000004,1,0,0,1,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,0,1,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,1,0,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,0,1,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,0,1,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,0,1,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,1,0,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,0,1,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,0,1,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,1,0,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,1,0,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,1,0,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,0,1,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,0,1,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,0,1,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,0,1,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,0,1,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,0,1,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,1,0,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,0,1,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,0,1,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,0,1,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,0,1,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,0,1,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,1,0,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
-0.5712682150947924,0.8207634412072763,1.2246467991473532e-16,-1.0,2023,0.8660254037844387,-0.4999999999999998,1,0,0,1,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,0,1,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,0,1,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,1,0,0,1
-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,2023,1.2246467991473532e-16,-1.0,1,0,1,0,1
